name,capital,population,region
Antigua and Barbuda,Saint John's,103603,Americas
Bhutan,Thimphu,784043,Asia
Italy,Rome,58927633,Europe
Tuvalu,Funafuti,10643,Oceania
Anguilla,The Valley,16010,Americas
Australia,Canberra,27536874,Oceania
Belize,Belmopan,417634,Americas
Vanuatu,Port Vila,321409,Oceania
Belarus,Minsk,9109280,Europe
Mauritius,Port Louis,1243741,Africa
Laos,Vientiane,7647000,Asia
Senegal,Dakar,18593258,Africa
Turkey,Ankara,85664944,Asia
Bolivia,Sucre,11365333,Americas
Sri Lanka,Sri Jayawardenepura Kotte,21763170,Asia
Norfolk Island,Kingston,2188,Oceania
China,Beijing,1408280000,Asia
Caribbean Netherlands,Kralendijk,31980,Americas
Guernsey,St. Peter Port,64781,Europe
Sudan,Khartoum,51662000,Africa
